x;y;radius;error
2129;2040;1848;125.18583011627197
2132;2042;1846;125.81591365734737
2127;2040;1852;150.9898381034533
2128;2039;1846;162.5388565659523
2134;2039;1845;195.9618361790975
2126;2042;1846;160.81817797819772
2134;2041;1850;185.62185591459274
2129;2043;1849;127.12361061573029
2128;2039;1849;152.36133033037186
2130;2038;1846;165.13122179110846
2127;2041;1849;138.65785306692123
2127;2042;1850;143.40810664494833
2128;2043;1846;141.24797966082892
2134;2040;1852;201.95289276043573
2129;2044;1849;142.77153261502585
2129;2038;1846;171.45037990808487
2134;2045;1847;194.2417553861936
2134;2038;1849;219.05507228771845
2128;2043;1847;139.59081856409708
2127;2044;1851;166.8317867120107
2126;2043;1850;165.74324132998785
2127;2045;1850;178.6300816734632
2128;2037;1847;196.5031005938848
2127;2044;1849;164.87733338276544
2132;2039;1847;157.51491494973502
2134;2043;1846;178.9650001923243
2128;2038;1853;171.15052058299383
2127;2042;1847;143.37289686997732
2126;2040;1849;156.04319431384405
2133;2038;1849;199.74826927979788
2134;2037;1851;238.76816618442535
2134;2040;1847;186.66098940372467
2127;2040;1851;147.27058662970862
2131;2043;1849;123.85845446586609
2133;2041;1846;151.28652423620224
2127;2045;1847;178.74234328667322
2132;2040;1850;144.2137934366862
2126;2043;1846;166.38625500599542
2127;2037;1847;204.83628211418787
2133;2044;1852;180.65572905540466
2130;2039;1851;140.8323466181755
2131;2045;1847;152.56571902831396
2134;2038;1846;212.34690527121225
2130;2039;1847;141.065516213576
2130;2043;1848;118.68984009822209
2133;2040;1849;167.51269618670145
2130;2039;1849;138.41985150178274
2133;2040;1853;183.4242423772812
2130;2040;1849;115.60742747783661
2132;2043;1851;148.9132176041603
2132;2045;1846;161.50698345899582
2127;2039;1850;158.9499885837237
2132;2038;1848;178.81302734216055
2127;2043;1847;152.01009420553842
2134;2038;1850;221.67110232512155
2128;2041;1849;125.91310660044353
2128;2038;1851;169.2265405257543
2130;2040;1851;119.83077770471573
2132;2042;1851;139.77478418747583
2132;2037;1853;207.4012966156006
2128;2044;1851;155.17180236180624
2128;2038;1846;180.63310424486795
2126;2044;1846;177.18740479151407
2131;2041;1853;130.08184001843134
2131;2038;1846;166.24635130167007
2134;2041;1853;199.7180633942286
2130;2037;1849;182.54854689041773
2128;2043;1850;140.575175066789
2127;2041;1846;148.47309637069702
2132;2045;1847;161.7895714441935
2126;2037;1847;214.16423525412878
2130;2044;1848;136.02402583758035
2127;2044;1852;168.18989984194437
2130;2043;1847;119.17702815930049
2130;2045;1845;155.04985509316126
2131;2039;1853;155.88314839204153
2130;2045;1849;151.2735935250918
2134;2045;1850;199.44833360115686
2134;2044;1852;199.22466466824213
2130;2042;1850;107.28499825795491
2130;2038;1848;162.17316635449728
2134;2037;1845;224.44295448064804
2133;2045;1848;178.48821234703064
2134;2040;1850;194.2218293348948
2126;2039;1853;173.00443132718405
2133;2041;1853;176.2093811829885
2131;2043;1846;122.18211714426677
2126;2045;1850;190.70705097913742
2129;2041;1852;121.7126093308131
2126;2044;1847;176.18763556083044
2134;2045;1846;193.0388988852501
2130;2038;1850;161.60619445641836
2127;2040;1848;147.91228204965591
2133;2041;1849;157.20276794830957
2133;2045;1850;182.28892946243286
2128;2040;1848;136.92628614107767
2127;2039;1853;164.6246774593989
2126;2045;1845;192.47137000163397
2133;2042;1850;160.4672044912974
2128;2039;1850;151.1358210245768
2134;2045;1852;204.4829838871956
2128;2039;1848;154.9559301932653
2126;2040;1851;157.08870369195938
2133;2042;1847;151.55046437184015
2130;2045;1847;152.1283058921496
2127;2037;1848;202.60492579142252
2134;2042;1846;175.15672781070074
2130;2039;1852;143.93691476186117
2127;2043;1849;152.1659655570984
2131;2045;1845;154.83527278900146
2129;2041;1847;115.87481327851613
2129;2037;1846;190.03945779800415
2128;2037;1846;198.0540060599645
2132;2037;1847;196.1097382903099
2131;2043;1848;121.91251502434413
2130;2039;1848;139.1060852408409
2133;2041;1850;160.7297734618187
2131;2043;1852;136.59049055973688
2130;2045;1850;151.7587105433146
2127;2043;1845;157.18142139911652
2133;2045;1849;180.24856489896774
2132;2044;1846;148.79539893070856
2132;2044;1853;165.94657862186432
2128;2038;1852;169.42406256993613
2132;2042;1852;145.91197655598322
2127;2039;1852;160.921116511027
2127;2042;1849;141.99132629235586
2128;2040;1853;145.20728135108948
2129;2039;1845;155.5449094971021
2130;2041;1853;122.87556278705597
2127;2038;1845;193.31707322597504
2134;2039;1847;199.86820250749588
2128;2045;1847;168.17045426368713
2128;2039;1853;156.66911625862122
2129;2045;1846;159.8046651085218
2133;2040;1845;160.41637867689133
2128;2042;1853;141.51370449860892
2127;2038;1852;174.9506050348282
2129;2039;1850;143.50166451931
2131;2045;1853;161.05988317728043
2134;2037;1853;244.52971438566843
2130;2037;1847;183.84967201948166
2127;2038;1846;190.3390158613523
2132;2041;1845;129.4106949766477
2132;2045;1845;161.9479702115059
2126;2043;1853;172.35718844334284
2132;2043;1848;138.2605468829473
2126;2040;1845;179.00898611545563
2132;2044;1847;149.6163780093193
2133;2044;1845;165.10784540573755
2126;2042;1849;154.29498847325644
2129;2037;1850;184.87105041742325
2131;2039;1849;143.26079299052557
2134;2041;1848;180.02743722995123
2132;2042;1849;130.30246464411417
2126;2043;1845;170.71169131994247
2129;2038;1847;169.3972398440043
2132;2043;1849;141.15553480386734
2131;2039;1846;144.96028061707815
2132;2041;1850;132.6606495976448
2126;2044;1852;180.39407390356064
2130;2044;1852;142.83698693911234
2132;2043;1846;135.44547512133917
2129;2040;1846;133.48050945997238
2126;2038;1845;204.248852789402
2127;2042;1852;149.40068741639456
2126;2040;1847;165.02248619000116
2128;2044;1853;159.10420387983322
2130;2041;1850;103.55187344551086
2128;2037;1851;188.3142327864965
2127;2041;1848;139.6381314198176
2134;2038;1845;210.06335683663687
2133;2042;1851;164.9897974729538
2134;2044;1849;190.7902879913648
2127;2040;1853;155.96683663129807
2133;2037;1849;215.89640998840332
2127;2042;1846;146.89236795902252
2129;2039;1846;151.84457939863205
2127;2039;1846;173.57640039920807
2131;2039;1850;144.944071551164
2127;2039;1845;178.41888954242071
2128;2038;1849;172.4963641166687
2127;2042;1853;153.78576385974884
2131;2037;1852;190.60439970095953
2130;2041;1845;118.38067585229874
2132;2037;1846;195.0518677433332
2134;2040;1853;206.77245616912842
2130;2042;1853;126.7222985625267
2131;2040;1851;126.49005756775539
2126;2037;1852;198.8159218231837
2133;2038;1851;204.74184707800546
2129;2039;1852;146.54711923996607
2134;2045;1848;195.6901269952456
2126;2045;1852;192.2994562983513
2130;2040;1852;124.70359710852306
2132;2045;1851;167.97121876478195
2130;2037;1852;184.20736932754517
2128;2044;1845;156.39842375119528
2131;2040;1847;121.30510465304057
2130;2043;1850;121.93803503115971
2130;2045;1846;153.31418897708258
2132;2039;1845;157.19925951957703
2127;2042;1851;145.92753277222315
2133;2037;1851;220.36860807736716
2130;2037;1845;185.7027823328972
2131;2044;1846;138.2744725147883
2133;2045;1845;175.38018103440604
2129;2043;1851;131.30568359295526
2130;2038;1853;167.5368619362513
2132;2041;1847;125.7477147380511
2128;2044;1846;154.60220164060593
2134;2044;1850;193.21111224095026
2127;2041;1845;155.81683506568274
2131;2042;1850;113.11056923866272
2131;2042;1848;107.55885444084804
2130;2038;1845;167.1173851688703
