x;y;radius;error
1953;2035;1847;136.82135079304376
1954;2035;1844;143.54940418402353
1958;2036;1845;167.63343300422034
1951;2034;1848;169.13888667027155
1957;2036;1843;150.5700571934382
1952;2034;1849;160.27557601531348
1957;2040;1843;171.388973792394
1954;2039;1844;146.8968953092893
1955;2041;1849;187.9680507183075
1958;2037;1846;161.57620286941528
1958;2035;1848;181.75429554780325
1957;2039;1842;151.6785014073054
1952;2040;1849;190.64326111475626
1957;2041;1849;195.26424680153528
1956;2038;1842;129.26309514045715
1953;2039;1848;163.5827024380366
1951;2038;1848;166.74634420871735
1956;2040;1849;176.7957263191541
1954;2039;1841;153.12340011199316
1956;2033;1847;182.77461677789688
1959;2035;1846;200.25421764453253
1957;2034;1847;178.6173885265986
1953;2039;1841;165.60570353269577
1957;2035;1849;165.1776276230812
1952;2034;1846;162.60478659470877
1957;2039;1848;170.09244513511658
1953;2040;1844;171.4153777360916
1956;2033;1846;182.7430718342463
1958;2041;1845;201.20319096247354
1954;2037;1846;120.79174755016963
1959;2038;1844;184.63817665974298
1953;2039;1846;155.64854049682617
1953;2036;1849;135.14434645573297
1955;2034;1845;158.47129219770432
1955;2037;1842;130.46256432930628
1953;2039;1843;155.09528426329294
1957;2040;1849;184.44766402244568
1952;2035;1845;150.75795380274454
1959;2036;1843;191.01837613185248
1958;2040;1841;184.4381995598475
1956;2040;1842;162.70931601524353
1951;2039;1845;174.36240128676096
1953;2038;1849;154.24232504765192
1951;2040;1845;190.21803359190622
1958;2040;1842;184.4344400962194
1951;2034;1846;172.693796535333
1953;2033;1849;173.0143637061119
1957;2040;1841;169.9651350180308
1954;2040;1847;170.26406272252402
1951;2040;1848;197.0991562406222
1957;2039;1841;151.9922520518303
1953;2034;1843;163.03544294834137
1956;2037;1843;126.55683290958405
1955;2037;1843;124.5664391318957
1957;2035;1843;164.7527108391126
1958;2040;1846;189.91818300882974
1953;2038;1844;138.52222514152527
1956;2038;1848;144.95790497461954
1951;2041;1849;215.86333537101746
1955;2036;1849;130.51864488919577
1951;2038;1849;170.9458129008611
1959;2039;1843;190.74036959807077
1952;2039;1841;180.49321301778158
1953;2035;1848;137.33249672253928
1953;2037;1848;134.7073160211245
1955;2039;1845;145.96819007396698
1951;2040;1841;204.73828983306885
1954;2039;1848;158.44095695018768
1954;2035;1845;139.38656248648962
1954;2041;1845;185.35512711604437
1953;2036;1848;129.79752629995346
1958;2040;1844;186.28626078367233
1953;2040;1846;173.0858797430992
1953;2039;1847;159.09668483336768
1958;2035;1847;180.70326801141104
1959;2040;1847;208.57645690441132
1952;2040;1843;180.48775188128153
1954;2039;1842;149.05999261140823
1952;2036;1845;141.21340715885162
1954;2035;1846;135.83410177628198
1951;2035;1843;173.1350181500117
1953;2037;1845;128.36015063524246
1952;2041;1842;198.50554915269217
1958;2034;1844;194.842383146286
1954;2040;1844;166.40069218476614
1954;2034;1842;161.80718177556992
1958;2038;1841;163.1575395266215
1957;2038;1847;151.6839924454689
1956;2035;1849;150.16713760296503
1955;2037;1848;126.73939947287242
1951;2041;1845;206.8905662894249
1951;2041;1842;209.76746521393457
1957;2037;1847;142.45195227861404
1954;2034;1848;151.5734382867813
1956;2035;1846;147.1285278995832
1951;2033;1845;188.53372514247894
1954;2035;1842;151.70746435721716
1956;2037;1849;138.68630361557007
1955;2038;1847;135.0246757864952
1958;2035;1846;180.46954808632532
1956;2038;1847;139.1971382101377
1951;2041;1846;208.1749537785848
1953;2033;1843;175.31470976273218
1954;2041;1842;184.4982329805692
1951;2034;1849;168.39304105440775
1955;2040;1841;161.9784646431605
1957;2035;1845;162.5758920709292
1954;2036;1848;124.89476174116135
1957;2039;1846;161.9676388502121
1959;2040;1845;204.4882730046908
1958;2037;1841;166.41897058486938
1959;2033;1844;223.6423116326332
1956;2036;1845;131.68955622116724
1951;2035;1841;185.60114085674286
1954;2037;1842;137.86545711755753
1956;2039;1849;164.99678119023642
1952;2039;1843;166.04600948095322
1953;2034;1847;154.44647135337195
1955;2033;1841;173.58483149607977
1952;2038;1846;148.42164357503256
1953;2041;1846;190.3290464480718
1955;2035;1841;151.6889070868492
1951;2036;1844;161.96540768941244
1952;2033;1849;178.51119331518808
1955;2033;1848;174.14006143808365
1958;2036;1848;170.43432158231735
1958;2039;1847;181.62949911753336
1953;2034;1848;153.63467731078467
1956;2041;1843;183.2885943055153
1959;2038;1845;186.19799661636353
1954;2039;1849;163.53098861376444
1958;2036;1842;172.32853267590204
